Strain,Clade,preserve
Ghana/2828_S6/2020,19B,0
Australia/QLD03/2020,19B,0
Australia/QLD02/2020,19B,0
Australia/QLD1293/2020,19B,0
Australia/VIC07/2020,19B,0
Australia/QLD01/2020,19B,0
SierraLeone/KGH-G-8626/2020,19B,0
CotedIvoire/BKE0016/2020,19B,0
Mali/UCRC-31/2020,19B,0
BurkinaFaso/2-012/2020,19B,0
Jordan/IR-ALSR-2578/2020,19B,0
Oman/89477/2020,19B,0
Pakistan/JRCGR-KHI04/2020,19B,0
Tunisia/COV0010-12/2020,19B,0
Nigeria/KT-CV359/2020,19B,0
Benin/1950/2020,19B,0
Ghana/84162_S45/2020,19B,0
Benin/2012/2020,19B,0
Australia/NSW2455/2020,19B,0
CotedIvoire/BKE0356/2020,19B,0
BurkinaFaso/590/2020,19B,0
BurkinaFaso/609/2020,19B,0
CotedIvoire/BKE0633/2020,19B,0
BurkinaFaso/3567/2020,19B,0
BurkinaFaso/3952/2020,19B,0
Australia/QLD04/2020,19B,0
UnitedArabEmirates/DU-A-S9-2_S4/2020,19B,0
Netherlands/Utrecht_10015/2020,19B,0
CotedIvoire/BKE0011/2020,19B,0
CotedIvoire/BKE0712/2020,19B,0
CotedIvoire/BKE0965/2020,19B,0
Mali/M002672/2020,19B,0
Uganda/UG058/2020,19B,0
Bahrein/BAH-12/2020,19B,0
Zambia/ZMB-1241/2020,19B,0
Uganda/UG046/2020,19B,0
Uganda/UG060/2020,19B,0
Mali/M002826/2020,19B,0
Australia/QLD1478/2020,19B,0
Australia/QLD1466/2020,19B,0
Australia/QLD1477/2020,19B,0
BurkinaFaso/3573/2020,19B,0
BurkinaFaso/3953/2020,19B,0
BurkinaFaso/4215/2020,19B,0
BurkinaFaso/4312/2020,19B,0
BurkinaFaso/2939/2020,19B,0
BurkinaFaso/4307/2020,19B,0
BurkinaFaso/3535/2020,19B,0
Italy/VEN-IZSVe-21RS22-9_TV/2020,19B,0
Jordan/SR-0336/2020,19B,0
Egypt/CUNCI-HGC9I022/2020,19B,0
Rwanda/NRLNAT1011/2020,19B,0
Uganda/UG053/2020,19B,0
Uganda/UG118/2020,19B,0
Uganda/UG173/2020,19B,0
Cambodia/126516/2020,19B,0
Cambodia/137932/2020,19B,0
Cambodia/137931/2020,19B,0
Cambodia/137334/2020,19B,0
Cambodia/139820/2020,19B,0
Cambodia/139037/2020,19B,0
Australia/SAP603/2021,19B,0
Rwanda/NRLNAT1081/2021,19B,0
Uganda/UG204/2021,19B,0
Uganda/UG175/2020,19B,0
Uganda/UG190/2020,19B,0
Rwanda/NRLNAT1048/2020,19B,0
Rwanda/NRLNAT1014/2020,19B,0
Rwanda/NRLNAT1086/2021,19B,0
Rwanda/NRLNAT1059/2020,19B,0
Rwanda/NRLNAT1050/2021,19B,0
Rwanda/NRLNAT1039/2020,19B,0
Rwanda/NRLNAT1085/2021,19B,0
Rwanda/NRLNAT1019/2020,19B,0
Kenya/C80125/2021,19B,0
Uganda/UG199/2020,19B,0
Uganda/UG214/2020,19B,0
Canada/NB-NML-8793/2021,19B,0
Uganda/UG174/2020,19B,0
Uganda/UG200/2020,19B,0
Rwanda/NRLNAT1080/2021,19B,0
Uganda/UG187/2020,19B,0
Rwanda/NRLNAT1055/2021,19B,0
Rwanda/NRLNAT1057/2021,19B,0
Uganda/UG167/2020,19B,0
Uganda/UG201/2021,19B,0
Uganda/UG205/2021,19B,0
Uganda/UG179/2020,19B,0
Uganda/UG210/2020,19B,0
Uganda/UG202/2021,19B,0
Uganda/UG203/2021,19B,0
Uganda/UG177/2020,19B,0
Uganda/UG181/2020,19B,0
Rwanda/NRLNAT1054/2021,19B,0
Nepal/61/2020,19A,0
Wuhan/Hu-1/2019,19A,0
Wuhan/IME-WH02/2019,19A,0
Japan/AI-I-004/2020,19A,0
Pakistan/KHI1/2020,19A,0
Australia/QLDID922/2020,19A,0
UnitedArabEmirates/skmc-2200543117/2020,19A,0
Lithuania/MR-LUHS-Eilnr31/2020,19A,0
Malaysia/IMR_WC1114/2020,19A,0
Vietnam/VNHN_0847/2020,19A,0
Austria/CeMM0142/2020,19A,0
Belgium/rega-0423301/2020,19A,0
Belgium/ULG-10052/2020,19A,0
NewZealand/20VR1022/2020,19A,0
Luxembourg/LNS5680075/2020,19A,0
Cambodia/0012/2020,19A,0
USA/WI1/2020,19A,0
Australia/VIC14/2020,19A,0
Japan/OS-20-07-1/2020,19A,0
Indonesia/JK-EIJK31/2020,19A,0
Indonesia/JK-EIJK-01/2020,19A,0
Indonesia/JK-EIJK-0317/2020,19A,0
Thailand/SI200433-NT/2020,19A,0
Thailand/Phuket_247/2020,19A,0
Singapore/175/2020,19A,0
Malaysia/IMR_WC1098/2020,19A,0
Indonesia/JK-EIJK-03/2020,19A,0
Wuhan/HB-WH5-237/2020,19A,0
Singapore/706/2020,19A,0
India/WB-IICB-034/2020,19A,0
Malaysia/UNIMAS-11942/2020,19A,0
Egypt/CCHE57357-A-29/2020,19A,0
Mexico/JAL-InDRE-11/2020,19A,0
Slovakia/SK-BMC6/2020,19A,0
mink/Netherlands/NB-EMC-28-2/2020,19A,0
NewZealand/CoV001/2020,19A,0
Curacao/CW-RIVM-10100/2020,19A,0
Curacao/CW-RIVM-10308/2020,19A,0
Curacao/CW-RIVM-10309/2020,19A,0
Curacao/CW-RIVM-10093/2020,19A,0
Curacao/CW-RIVM-10092/2020,19A,0
Curacao/CW-RIVM-10094/2020,19A,0
Vietnam/19-02S/2020,19A,0
Egypt/CCHE57357-A-47/2020,19A,0
Australia/NSW10/2020,19A,0
Egypt/CCHE57357-P-43/2020,19A,0
Egypt/CCHE57357-A-54/2020,19A,0
Egypt/CCHE57357-A-55/2020,19A,0
Kenya/C81400/2021,19A,0
Malaysia/UNIMAS-3325/2020,19A,0
Germany/BY-ChVir-1017/2020,19A,0
Peru/LIM-INS-114/2020,20A,0
Croatia/52102_ID1647_19/2020,20A,0
Peru/CAL-INS-103/2020,20A,0
Cameroon/Yaounde-20V-59291/2020,20A,0
Mexico/MOR-InDRE_137/2020,20A,0
Kenya/C60161/2020,20A,0
Kenya/C76136/2020,20A,0
UnitedArabEmirates/0898/2020,20A,0
Congo/Q001C130AO_2101-TM-r1-044/2021,20A,0
Gambia/S-3069F/2020,20A,0
Gambia/S-3087K/2020,20A,0
CzechRepublic/NRL-10717/2020,20A,0
Morocco/FMP-60/2020,20A,0
Gambia/S-311/2020,20A,0
Gambia/S-418/2020,20A,0
Ecuador/USFQ-506/2020,20A,0
Latvia/046/2020,20A,0
Iran/GRC-9673/2020,20A,0
Morocco/HMIMV-Rabat1429-04/2020,20A,0
Morocco/HMIMV_279CC/2020,20A,0
Australia/WA104/2020,20A,0
Romania/RO_IOCN51/2020,20A,0
Sweden/21-50243/2021,20A,0
Sweden/RVFOI21-00022/2021,20A,0
Singapore/1079/2020,20A,0
Switzerland/BS-UHB-42501867/2020,20A,0
Australia/SAP531/2020,20A,0
Romania/103Hunedoara/2020,20A,0
Romania/191Hunedoara/2020,20A,0
Belgium/AZDelta06200-2105R/2021,20A,0
Italy/CAM-TIGEM-232/2020,20A,0
Romania/RO_SC10051/2020,20A,0
Romania/RO_DJ40541/2020,20A,0
Romania/RO_DJ40921/2020,20A,0
Norway/2803/2020,20A,0
Ireland/KE-NVRL-72IRL07332/2020,20A,0
Ireland/D-NVRL-20ILR10865/2020,20A,0
Ireland/MH-NVRL-76IRL30430/2020,20A,0
Switzerland/ZH-ETHZ-430377/2020,20A,0
Germany/NW-HHU-524/2020,20A,0
Romania/USAFSAM-S539/2020,20A,0
Romania/USAFSAM-S569/2020,20A,0
BosniaandHerzegovina/VFS-UNSA-LMGFI012/2020,20A,0
SriLanka/CMC77697/2021,20A,0
CzechRepublic/IAB20_016_016/2020,20A,0
France/GE-IPP11375/2020,20A,0
Australia/NSW1457/2020,20A,0
Slovenia/NK7858/2020,20A,0
Italy/LAZ-INMI-157/2021,20A,0
Switzerland/UR-ETHZ-430330/2020,20A,0
Slovenia/176062/2020,20A,0
Austria/CeMM2653/2020,20A,0
Slovenia/2020-V0-272137/2020,20A,0
Austria/CeMM2638/2020,20A,0
Slovenia/2020-V0-271950/2020,20A,0
Slovenia/2020-V0-272532/2020,20A,0
Canada/QC-L00320845001/2021,20A,0
NorthMacedonia/2366/2021,20A,0
CzechRepublic/NRL_522/2021,20A,0
Slovakia/UKBA-1223/2021,20A,0
Slovakia/UKBA-1224/2021,20A,0
Slovakia/UKBA-1005/2020,20A,0
BosniaandHerzegovina/AGC-MOS-002/2020,20A,0
Australia/WA539/2020,20A,0
France/GE-IPP11352/2020,20A,0
France/GE-IPP00442/2020,20A,0
Austria/CeMM1746/2020,20A,0
Slovenia/NK7861/2020,20A,0
Sweden/21-50150/2021,20A,0
Slovakia/UKBA-608/2020,20A,0
Slovenia/NK7862/2020,20A,0
Slovenia/146859/2020,20A,0
Slovenia/NK7852/2020,20A,0
Switzerland/ZH-ETHZ-300322/2020,20A,0
CzechRepublic/NRL_644/2021,20A,0
CzechRepublic/NRL-10092/2020,20A,0
Australia/WA543/2020,20A,0
Australia/WA557/2020,20A,0
Poland/NIPH-NIH-17/2021,20A,0
Iceland/6549/2020,20A,0
Austria/CeMM2394/2021,20A,0
CzechRepublic/NRL-10324/2020,20A,0
Slovakia/UKBA-1124/2021,20A,0
CzechRepublic/NRL_10593/2020,20A,0
Austria/MUW_1356959/2020,20A,0
Australia/QLD1343/2020,20A,0
CzechRepublic/NRL_12339/2020,20A,0
Denmark/DCGC-10802/2020,20A,0
Germany/ST-MD251/2020,20A,0
CzechRepublic/NRL_680/2021,20A,0
CzechRepublic/NRL_11188/2020,20A,0
Sweden/21-50405/2021,20A,0
CzechRepublic/NRL-9908/2020,20A,0
Belgium/ULG-11920/2020,20A,0
CzechRepublic/NRL-10716/2020,20A,0
CzechRepublic/NRL_10750/2020,20A,0
CzechRepublic/NRL_156/2021,20A,0
Iceland/4034/2020,20A,0
Iceland/4355/2020,20A,0
Australia/NSW1199/2020,20A,0
Italy/VEN-IZSVe-20RS2163-2_VR/2020,20A,0
Netherlands/NB-RIVM-11242/2021,20A,0
Lithuania/VULSK-397/2020,20A,0
Lithuania/VULSK-1107/2020,20A,0
Lithuania/VULSK-347/2020,20A,0
env/Netherlands/UT-92505-N/2020,20A,0
USA/NJ-QDX-2190/2020,20A,0
France/IDF_HB_112002103234/2020,20A,0
Ukraine/203100351/2020,20A,0
CzechRepublic/NRL-10066/2020,20A,0
CzechRepublic/NRL-7963/2020,20A,0
Slovakia/UKBA-603/2020,20A,0
Germany/BW-FR0059/2020,20A,0
Canada/BC_8486790/2020,20A,0
Mali/UCRC-68/2020,20A,0
Gabon/ITM-K023/2020,20A,0
Morocco/RMPS-03/2020,20A,0
Australia/VIC170/2020,20A,0
UnitedArabEmirates/L920634731/2020,20A,0
Cameroon/Ebolowa-20v-13093/2020,20A,0
Benin/314/2020,20A,0
Bangladesh/DNAS-CPH-466/2020,20A,0
Suriname/SR-20/2020,20A,0
Suriname/SR-47/2020,20A,0
Suriname/SR-70/2020,20A,0
Suriname/SR-05/2020,20A,0
Suriname/SR-69/2020,20A,0
Suriname/SR-54/2020,20A,0
Morocco/FMP-42/2020,20A,0
Morocco/FMP-43/2020,20A,0
Morocco/FMP-46/2020,20A,0
Morocco/FMP-58/2020,20A,0
DRC/2384/2020,20A,0
Slovenia/134870/2020,20A,0
Slovenia/NK7608/2020,20A,0
Cameroon/CV408/2020,20A,0
SriLanka/CDR1885/2020,20A,0
DRC/3632/2020,20A,0
DRC/7920/2020,20A,0
Cameroon/CV428/2020,20A,0
Cameroon/CV436/2020,20A,0
Cameroon/CV439/2020,20A,0
Cameroon/CV432/2020,20A,0
Bangladesh/G-38/2020,20A,0
Guinea/CERFIG-2190/2020,20A,0
Cameroon/CV435/2020,20A,0
Cameroon/CV430/2020,20A,0
CotedIvoire/BKE0125/2020,20A,0
CotedIvoire/BKE0201/2020,20A,0
BurkinaFaso/2-040-1615/2020,20A,0
India/MH-ACTREC-416/2020,20A,0
UnitedArabEmirates/3685/2020,20A,0
India/MH-ACTREC-469/2020,20A,0
Senegal/1683/2020,20A,0
Cameroon/CV417/2020,20A,0
DRC/11653/2020,20A,0
DRC/253/2020,20A,0
Bangladesh/CHRF-0011/2020,20A,0
Congo/Q001C101AB_2101-TM-r1-015/2020,20A,0
Uganda/UG088/2020,20A,0
Congo/Q001C118A6_2101-TM-r1-032/2020,20A,0
Congo/Q001C114A8_2101-TM-r1-028/2021,20A,0
Congo/Q001C109A7_2101-TM-r1-023/2020,20A,0
Congo/Q001C104A1_2101-TM-r1-018/2020,20A,0
Congo/Q001C117AW_2101-TM-r1-031/2021,20A,0
Congo/Q001C107AP_2101-TM-r1-021/2020,20A,0
Congo/Q001C113A0_2101-TM-r1-027/2021,20A,0
Ireland/D-NVRL-20Z13285/2020,20A,0
Bahrain/341013933_S13_L001/2020,20A,0
Australia/NSW1458/2020,20A,0
Austria/CeMM1756/2020,20A,0
Serbia/Belgrade-C336342111/2020,20A,0
Morocco/FMP-49/2020,20A,0
Senegal/6481/2020,20A,0
Guangdong/SYSU-IHV/2020,20A,0
Brazil/SP-06/2020,20A,0
Brazil/SP-05/2020,20A,0
CostaRica/CRV-0024/2020,20A,0
Egypt/CPHL-NRC-6/2020,20A,0
Thailand/Bangkok-CONI-0096/2020,20A,0
Australia/SAP521/2020,20A,0
Australia/SAP522/2020,20A,0
UnitedArabEmirates/L7356/2020,20A,0
UnitedArabEmirates/0582/2020,20A,0
Mozambique/INS-K008012/2021,20A,0
HongKong/VM20003442/2020,20A,0
USA/ME-HETL-J0031/2020,20A,0
Italy/CAM-TIGEM-555/2020,20A,0
NewZealand/20VR2068/2020,20A,0
Australia/VIC1411/2020,20A,0
Ecuador/USFQ-485/2020,20A,0
Iceland/440/2020,20A,0
Netherlands/ZuidHolland_165/2020,20A,0
CostaRica/CRV-0009/2020,20A,0
CostaRica/CRV-0008/2020,20A,0
Russia/MUR-RII-MH5220S/2020,20A,0
Indonesia/SA-EIJK50/2020,20A,0
Morocco/refstage1/2020,20A,0
Luxembourg/LNS0000001/2020,20A,0
Denmark/SSI-02/2020,20A,0
Montenegro/ChVir-1268662002/2020,20A,0
Australia/QLD1304/2020,20A,0
Senegal/082/2020,20A,0
Nigeria/CV639/2020,20A,0
Nigeria/BCVL-18755/2021,20A,0
Nigeria/BCVL-18762/2021,20A,0
Nigeria/BCVL-18839/2021,20A,0
Canada/QC-L00321034001/2021,20A,0
Nigeria/BCVL-18691/2021,20A,0
Australia/QLD1542/2021,20A,0
India/GJ-GBRC-439b/2020,20A,0
Kenya/C79176/2021,20A,0
Kenya/C67285/2020,20A,0
Kenya/C75825/2020,20A,0
Kenya/C75834/2020,20A,0
Kenya/C78146/2020,20A,0
Kenya/C76876/2020,20A,0
Kenya/C75854/2020,20A,0
NewZealand/20VR3146/2020,20A,0
Australia/QLD965/2020,20A,0
USA/IA_6399/2020,20A,0
Kenya/C2685/2020,20A,0
Kenya/C65909/2020,20A,0
