Strain,Clade,preserve
USA/AZ-WL-CVG00116/2020,20A,0
USA/HI-H200579/2020,20A,0
USA/TX-HMH-MCoV-14935/2020,20A,0
USA/HI-H200524/2020,20A,0
USA/HI-H210872/2021,20A,0
USA/HI-H210892/2021,20A,0
USA/TX-HHD-2101215038/2020,20A,0
USA/RI-Broad_RIDOH-00167/2021,20A,0
USA/DC-HP02061/2021,20A,0
USA/PR-CDC-LC0003680/2021,20A,0
USA/DE-DHSS-F987154/2020,20A,0
USA/PA-CDC-STM-000004210/2021,20A,0
USA/MD-HP02234/2021,20A,0
Malaysia/IMR_WC344977/2020,20A,0
Malaysia/IMR-CV138522/2020,20A,0
Malaysia/IMR-CV140278/2020,20A,0
Malaysia/IMR-CV1140107/2020,20A,0
Malaysia/IMR-CV138523/2020,20A,0
Malaysia/IMR_WC45870/2021,20A,0
Malaysia/HPUPM_ML5776/2020,20A,0
Malaysia/UNIMAS-15755/2020,20A,0
Malaysia/UNIMAS-B023/2020,20A,0
Malaysia/UNIMAS-15718/2020,20A,0
Malaysia/UNIMAS-B054/2020,20A,0
Malaysia/UNIMAS-B040/2020,20A,0
Malaysia/UNIMAS-B051/2020,20A,0
Malaysia/UNIMAS-15763/2020,20A,0
Malaysia/UNIMAS-15772/2020,20A,0
Malaysia/UNIMAS-15681/2020,20A,0
Cambodia/179345/2020,20A,0
Malaysia/IMR_WC42903/2021,20A,0
Australia/VIC18206/2021,20A,0
Malaysia/IMR_WC355231/2020,20A,0
Malaysia/HPUPM_ML6751/2020,20A,0
Malaysia/IMR-UCSI_R7/2021,20A,0
Australia/SAP599/2020,20A,0
Australia/SAP600/2020,20A,0
Australia/SAP598/2020,20A,0
Singapore/1533/2020,20A,0
Malaysia/IMR-WC280757/2020,20A,0
Malaysia/IMR_WC46759/2021,20A,0
Malaysia/IMR-WC280729/2020,20A,0
Mexico/CHP-InDRE_168/2020,20A,0
USA/OR-OHSU-5957/2020,20A,0
USA/FL-BPHL-2509/2020,20A,0
Mexico/COL-InDRE-75/2020,20A,0
USA/TX-HMH-MCoV-14963/2020,20A,0
Belarus/MA-RII-MH11359S/2020,20A,0
USA/NC-CDC-2-3693695/2020,20A,0
USA/MN-MDH-1529/2020,20A,0
USA/NM-UNM-01815/2021,20A,0
USA/NV-CDC-STM-000002407/2021,20A,0
Taiwan/NTU35/2020,20A,0
Mexico/BCN-ALSR-5732/2020,20A,0
USA/WA-S4137/2020,20A,0
Albania/Cento-30536457/2020,20A,0
Slovenia/MB21-3/2020,20A,0
Austria/MUW_1329668/2020,20A,0
Mexico/HGO-InDRE_123/2020,20A,0
Mexico/PUE-InDRE_128/2020,20A,0
Mexico/BCN-CICESE-BC5/2020,20A,0
Mexico/SLP-InDRE-77/2020,20A,0
Mexico/TAM-InDRE_189/2020,20A,0
USA/PR-CDC-STM-000001660/2021,20A,0
USA/DE-DHSS-FLW00563588/2020,20A,0
Colombia/BOG-INS-VG-231/2020,20A,0
Norway/2809/2020,20A,0
Belarus/HO-RRCEM-MOZ11874S/2020,20A,0
USA/UT-UPHL-2101010374/2021,20A,0
Mexico/BCN-ALSR-6339/2021,20A,0
England/ALDP-A6E0D9/2020,20A,0
Romania/Bucuresti_407958/2020,20A,0
Germany/NW-RKI-NP-0030/2020,20A,0
USA/DE-DHSS-FLW00563585/2020,20A,0
USA/DE-DHSS-F1017497/2020,20A,0
USA/DE-CDC-2-3713963/2020,20A,0
USA/RI-USAFSAM-S385/2020,20A,0
Aruba/AW-RIVM-10390/2020,20A,0
Curacao/CW-RIVM-10365/2020,20A,0
USA/SC-USAFSAM-S612/2020,20A,0
USA/SC-USAFSAM-S518/2020,20A,0
USA/NJ-CDC-LC0004769/2021,20A,0
USA/MD-MDH-0390/2020,20A,0
USA/VA-DCLS-2329/2020,20A,0
USA/KS-CDC-LC0004217/2021,20A,0
USA/KS-CDC-LC00000273/2020,20A,0
USA/WV-CDC-LC0004055/2021,20A,0
Australia/NSW1234/2020,20A,0
USA/WA-UW-32819/2020,20A,0
USA/SC-CDC-2-3714365/2020,20A,0
BosniaandHerzegovina/VFS-UNSA-LMGFI013/2020,20A,0
Germany/ST-MD332/2021,20A,0
Germany/NW-HHU-446/2020,20A,0
Australia/QLD1468/2020,20A,0
USA/TX-HMH-MCoV-11464/2020,20A,0
USA/LA-USAFSAM-S402/2020,20A,0
USA/OK-QDX-4528/2020,20A,0
USA/MI-UM-S504913/2021,20A,0
USA/MI-UM-S520295/2021,20A,0
USA/MI-UM-10038261694/2021,20A,0
USA/OK-CDC-2-3693672/2020,20A,0
USA/OK-CDC-2-3693466/2020,20A,0
USA/NV-CDC-STM-000005487/2021,20A,0
CostaRica/INC-0213/2020,20A,0
USA/UT-UPHL-2012442826/2020,20A,0
USA/IL-NM-2392/2020,20A,0
USA/AL-HGSC-JGNT/2021,20A,0
USA/FL-BPHL-2965/2020,20A,0
USA/MO-CDC-2-3714256/2020,20A,0
USA/LA-EVTL1684/2021,20A,0
USA/NM-DOH-2020568351/2020,20A,0
Australia/SAP516/2020,20A,0
Australia/WA561/2020,20A,0
Turkey/HSGM-IST12/2020,20A,0
NorthMacedonia/5213/2021,20A,0
NorthMacedonia//3235/2021,20A,0
USA/WY-WPHL-20044555/2020,20A,0
USA/CA-CZB-10307/2020,20A,0
SouthAfrica/KRISP-K004324/2020,20A,0
SouthAfrica/KRISP-K004333/2020,20A,0
USA/WI-WSLH-210955/2021,20A,0
Mexico/PUE-InDRE_190/2020,20A,0
SouthAfrica/KRISP-K004629/2020,20A,0
Mexico/SON-InDRE_135/2020,20A,0
Mexico/CMX-InDRE_197/2020,20A,0
Mexico/NL-InDRE_122/2020,20A,0
USA/NMDOH-2021041528/2021,20A,0
USA/IL-IDPH-I-000570/2020,20A,0
Uganda/UG065/2020,20A,0
Rwanda/AF37991-RD/2020,20A,0
USA/ID-USAFSAM-S475/2020,20A,0
USA/WI-UW-1255/2020,20A,0
USA/KS-KHEL-0097/2021,20A,0
USA/KS-KHEL-0110/2021,20A,0
USA/UT-UPHL-2012878128/2020,20A,0
USA/WY-WPHL-20157618/2020,20A,0
BosniaandHerzegovina/VFS-UNSA-LMGFI011/2020,20A,0
USA/CO-CDPHE-2010120393/2020,20A,0
Australia/QLD1283/2020,20A,0
Mexico/BCS-InDRE_133/2020,20A,0
NewZealand/21CV0035/2020,20A,0
Netherlands/Flevoland_10/2020,20A,0
UnitedArabEmirates/3623/2020,20A,0
NewZealand/20CV0663/2020,20E (EU1),0
Switzerland/UR-ETHZ-321517/2020,20E (EU1),0
Spain/MD-ISCIII-2014617/2020,20E (EU1),0
Spain/MD-IBV-99012429/2020,20E (EU1),0
Portugal/PT2738/2021,20E (EU1),0
Switzerland/SO-UHB-42501931/2020,20E (EU1),0
Slovenia/V0-28620/2021,20E (EU1),0
HongKong/CM20000368/2020,20E (EU1),0
Germany/SL-SU-10452452/2020,20E (EU1),0
Netherlands/NH-RIVM-20112/2020,20E (EU1),0
Thailand/Bangkok-Rat02/2020,20E (EU1),0
Spain/CT-IBV-97009580/2020,20E (EU1),0
France/OCC-162/2020,20E (EU1),0
Spain/IB-IBV-99012793/2020,20E (EU1),0
Italy/VEN-IZSVe-20RS2273-22_TV/2020,20E (EU1),0
Australia/WA504/2020,20E (EU1),0
Netherlands/LI-EMC-146/2020,20E (EU1),0
Peru/LIM-UPCH-0291/2020,20E (EU1),0
Australia/WA500/2020,20E (EU1),0
Nigeria/CV628/2020,20E (EU1),0
Switzerland/FR-ETHZ-350302/2020,20E (EU1),0
Tunisia/19695/2020,20E (EU1),0
Tunisia/55262/2020,20E (EU1),0
Tunisia/ADAGE-18503/2020,20E (EU1),0
Tunisia/1267/2021,20E (EU1),0
Tunisia/1890/2021,20E (EU1),0
Tunisia/ADAGE-24804/2020,20E (EU1),0
Tunisia/ADAGE-24463/2020,20E (EU1),0
Tunisia/55400/2020,20E (EU1),0
Tunisia/63686/2020,20E (EU1),0
Morocco/FMP-41/2020,20E (EU1),0
Italy/CAM-TIGEM-1393/2020,20E (EU1),0
Italy/CAM-TIGEM-1567/2020,20E (EU1),0
Morocco/FMP-57/2020,20E (EU1),0
SouthKorea/KDCA0368/2020,20E (EU1),0
Italy/CAM-TIGEM-296/2020,20E (EU1),0
Italy/CAM-CRGS-246/2020,20E (EU1),0
Australia/WA348/2020,20E (EU1),0
Bermuda/205081296/2020,20E (EU1),0
Australia/WA376/2020,20E (EU1),0
Ireland/WH-NVRL-83IRL31332/2021,20E (EU1),0
Australia/WA607/2021,20E (EU1),0
NewZealand/20CV0408/2020,20E (EU1),0
NewZealand/20CV0409/2020,20E (EU1),0
Switzerland/SO-ETHZ-390178/2020,20E (EU1),0
Netherlands/FR-RIVM-10783/2021,20E (EU1),0
HongKong/CM20000444/2020,20E (EU1),0
Sweden/20-53631/2020,20E (EU1),0
Sweden/20-53850/2020,20E (EU1),0
Denmark/DCGC-24082/2020,20E (EU1),0
Denmark/DCGC-28493/2021,20E (EU1),0
Denmark/DCGC-35041/2021,20E (EU1),0
Denmark/DCGC-21182/2020,20E (EU1),0
Denmark/DCGC-15846/2020,20E (EU1),0
Denmark/DCGC-40899/2021,20E (EU1),0
Denmark/DCGC-9381/2020,20E (EU1),0
Denmark/DCGC-35757/2021,20E (EU1),0
Denmark/DCGC-40377/2021,20E (EU1),0
Denmark/DCGC-35511/2021,20E (EU1),0
Italy/CAM-TIGEM-198/2020,20E (EU1),0
Italy/CAM-TIGEM-285/2020,20E (EU1),0
Italy/LAZ-INMI-145/2021,20E (EU1),0
Spain/MD-IBV-99008721/2020,20E (EU1),0
Australia/NT85/2020,20E (EU1),0
Iceland/5091/2020,20E (EU1),0
Iceland/5438/2020,20E (EU1),0
Iceland/6734/2020,20E (EU1),0
Iceland/4995/2020,20E (EU1),0
Iceland/3254/2020,20E (EU1),0
Iceland/6287/2020,20E (EU1),0
Iceland/4086/2020,20E (EU1),0
Iceland/6276/2020,20E (EU1),0
Iceland/3056/2021,20E (EU1),0
Iceland/4037/2020,20E (EU1),0
Iceland/5867/2020,20E (EU1),0
Iceland/3055/2021,20E (EU1),0
Iceland/4832/2021,20E (EU1),0
NewZealand/20CV0558/2020,20E (EU1),0
NewZealand/20CV0424/2020,20E (EU1),0
NewZealand/20CV0664/2020,20E (EU1),0
Spain/IB-IBV-99016841/2021,20E (EU1),0
Rwanda/NRLNAT1056/2021,20E (EU1),0
Vietnam/PIHCM-1564/2020,20E (EU1),0
Portugal/PT1876/2020,20E (EU1),0
Portugal/PT1867/2020,20E (EU1),0
Spain/VC-IBV-99016698/2021,20E (EU1),0
Sweden/21-50049/2020,20E (EU1),0
Serbia/Novi_Sad-NIVNS41211/2020,20E (EU1),0
Sweden/20-53165/2020,20E (EU1),0
Denmark/DCGC-15785/2020,20E (EU1),0
Belgium/ULG-11048/2020,20E (EU1),0
Taiwan/CGMH-CGU-32/2020,20E (EU1),0
France/GES-42484124/2020,20E (EU1),0
Italy/ABR-IZSGC-37076/2021,20E (EU1),0
Sweden/20-53291/2020,20E (EU1),0
Switzerland/BL-ETHZ-480301/2021,20E (EU1),0
France/un-21022020422/2021,20E (EU1),0
Germany/BB-RKI-NP-0007/2021,20E (EU1),0
Switzerland/BL-ETHZ-360266/2020,20E (EU1),0
Australia/QLD1456/2020,20E (EU1),0
England/MILK-B88ADA/2020,20E (EU1),0
England/MILK-B0449C/2020,20E (EU1),0
Bermuda/205081304/2020,20E (EU1),0
Italy/APU-IZSPB_326PT/2020,20E (EU1),0
Netherlands/UT-RIVM-21190/2020,20E (EU1),0
Switzerland/SO-ETHZ-450669/2021,20E (EU1),0
Australia/NT67/2020,20E (EU1),0
Italy/CAM-TIGEM-1572/2020,20E (EU1),0
Italy/CAM-TIGEM-1321/2020,20E (EU1),0
France/PAC-NRC2908/2020,20E (EU1),0
Italy/LAZ-INMI-181/2021,20E (EU1),0
Italy/LAZ-INMI-185/2021,20E (EU1),0
Italy/LAZ-INMI-190/2021,20E (EU1),0
England/QEUH-AA01D8/2020,20E (EU1),0
Netherlands/LI-MUMC-314/2020,20E (EU1),0
USA/IL-IDPH-I-000754/2020,20E (EU1),0
USA/NY-PRL-2021_0210_01G10/2021,20E (EU1),0
Cameroon/CV420/2020,20E (EU1),0
Cameroon/CV424/2020,20E (EU1),0
Colombia/DC-INS-VG-606/2021,20E (EU1),0
Iceland/5186/2021,20E (EU1),0
NewZealand/20CV0512/2020,20E (EU1),0
NewZealand/20CV0511/2020,20E (EU1),0
NewZealand/20CV0487/2020,20E (EU1),0
Germany/NW-ChVir22090/2021,20E (EU1),0
Scotland/EDB9083/2020,20E (EU1),0
Luxembourg/LNS6652729/2020,20E (EU1),0
Sweden/21-00351/2020,20E (EU1),0
Spain/MD-IBV-99008722/2020,20E (EU1),0
NewZealand/20CV0588/2020,20E (EU1),0
Belgium/ULG-11853/2021,20E (EU1),0
Switzerland/SH-ETHZ-480964/2021,20E (EU1),0
NewZealand/20CV0567/2020,20E (EU1),0
Germany/SH-ChVir20313/2020,20E (EU1),0
Austria/CeMM2031/2020,20E (EU1),0
Portugal/PT1654/2020,20E (EU1),0
Portugal/IGC_g240/2020,20E (EU1),0
Portugal/PT2173/2020,20E (EU1),0
Portugal/PT1969/2020,20E (EU1),0
Spain/MD-IBV-99008762/2020,20E (EU1),0
Spain/MC-ISCIII-2018165/2020,20E (EU1),0
Denmark/DCGC-37226/2021,20E (EU1),0
England/CAMC-B99845/2020,20E (EU1),0
Belgium/UGent-276/2020,20E (EU1),0
Spain/MD-IBV-99012378/2020,20E (EU1),0
Thailand/Chonburi-SQ-LN0002/2020,20E (EU1),0
Belgium/rega-10191128/2020,20E (EU1),0
Belgium/rega-2021/2021,20E (EU1),0
Singapore/1125/2020,20E (EU1),0
Denmark/DCGC-14836/2020,20E (EU1),0
Denmark/DCGC-8756/2020,20E (EU1),0
Denmark/DCGC-22180/2020,20E (EU1),0
Austria/CeMM1375/2020,20E (EU1),0
Ireland/CN-NVRL-20IRL82669/2020,20E (EU1),0
Ireland/OY-NVRL-75IRL90286/2020,20E (EU1),0
England/204481931/2020,20E (EU1),0
Ireland/LH-NVRL-20ILR11491/2020,20E (EU1),0
Ireland/CO-NVRL-83IRL55842/2021,20E (EU1),0
Australia/WA514/2020,20E (EU1),0
NewZealand/20CV0387/2020,20E (EU1),0
HongKong/CM20000221/2020,20E (EU1),0
England/QEUH-96171E/2020,20E (EU1),0
Netherlands/OV-RIVM-20503/2020,20E (EU1),0
Germany/NW-HHU-582/2020,20E (EU1),0
Netherlands/DR-RIVM-10065/2021,20E (EU1),0
Netherlands/ZH-EMC-1011/2020,20E (EU1),0
Spain/IB-IBV-99012847/2020,20E (EU1),0
Spain/IB-IBV-99012760/2020,20E (EU1),0
Wales/PHWC-4A6BAD/2020,20E (EU1),0
Ireland/WX-NVRL-AIIDW003v2/2020,20E (EU1),0
England/MILK-11A4C24/2021,20E (EU1),0
England/MILK-AC8DE5/2020,20E (EU1),0
Slovakia/UKBA-716/2021,20E (EU1),0
Ireland/CO-NVRL-83IRL29885/2021,20E (EU1),0
Ireland/D-NVRL-AIIDV1268v1/2020,20E (EU1),0
Ireland/D-NVRL-AIIDV1263v1/2020,20E (EU1),0
England/ALDP-B1CE39/2020,20E (EU1),0
England/ALDP-A6C5BE/2020,20E (EU1),0
NewZealand/21CV0034/2021,20E (EU1),0
Wales/PHWC-495BDE/2020,20E (EU1),0
Australia/WA453/2020,20E (EU1),0
Ireland/G-NVRL-76IRL13959/2020,20E (EU1),0
Wales/PHWC-4A957F/2020,20E (EU1),0
Norway/6734/2020,20E (EU1),0
Germany/SH-ChVir21766/2020,20E (EU1),0
Australia/WA541/2020,20E (EU1),0
Germany/ST-MD564/2021,20E (EU1),0
Germany/BB-RKI-NP-0011/2021,20E (EU1),0
Tunisia/69681/2020,20E (EU1),0
England/NORT-2876A3/2020,20E (EU1),0
HongKong/CM20000494/2020,20E (EU1),0
Norway/4688/2020,20E (EU1),0
Norway/4698/2020,20E (EU1),0
Lithuania/ID6756/2021,20E (EU1),0
Lithuania/ID7444/2021,20E (EU1),0
Iceland/5396/2021,20E (EU1),0
Lithuania/T-1193/2020,20E (EU1),0
Lithuania/ID7469/2021,20E (EU1),0
Lithuania/ID3836/2020,20E (EU1),0
Australia/NT92/2021,20E (EU1),0
Lithuania/ID7533/2021,20E (EU1),0
Lithuania/ID7291/2021,20E (EU1),0
Hungary/SRC-00836/2020,20A,0
USA/OR-PROV-085/2020,20A,0
Chile/Santiago-PUC_MVL_0038/2020,20A,0
Chile/RM-208669/2020,20A,0
Serbia/Pancevo-007910104/2020,20A,0
Belarus/ChVir21846/2020,20A,0
Latvia/109/2020,20A,0
Belarus/ChVir21845/2020,20A,0
Congo/Q001C131AW_2101-TM-r1-045/2020,20A,0
Congo/Q001C129AL_2101-TM-r1-043/2021,20A,0
Congo/Q001C127A5_2101-TM-r1-041/2021,20A,0
Congo/Q001C128AD_2101-TM-r1-042/2021,20A,0
Indonesia/BT-EIJK21/2020,20A,0
Netherlands/OV-RIVM-20117/2020,20A,0
Kuwait/SKS00104-JAH/2020,20A,0
Kuwait/SKS00101-JAH/2020,20A,0
Kuwait/SKS00109-JAH/2020,20A,0
Kuwait/SKS00113-JAH/2020,20A,0
SaudiArabia/KAUST-MADINAH655/2020,20A,0
SaudiArabia/KAUST-MADINAH956/2020,20A,0
SaudiArabia/KAUST-JEDDAH470/2020,20A,0
SaudiArabia/KAUST-MADINAH1674/2020,20A,0
Egypt/CUNCI-HGC7I07/2020,20A,0
USA/IA-GMF-16267/2020,20A,0
USA/VA-DCLS-0551/2020,20A,0
Iran/Gilan-NIC189/2020,20A,0
Tunisia/61627/2020,20A,0
Belgium/ULG-0546/2020,20A,0
Kashgar/IVDC-01-01/2020,20A,0
USA/PA-CDC-8397/2020,20A,0
USA/VA-DCLS-0998/2020,20A,0
Australia/VIC424/2020,20A,0
Belarus/ChVir21890/2020,20A,0
Colombia/SAN-INS-0904/2020,20A,0
Belarus/ChVir21837/2020,20A,0
Russia/LEN-RII-MH6113S/2020,20A,0
Belarus/ChVir21897/2020,20A,0
Egypt/NRC-01/2020,20A,0
NewZealand/20CV0265/2020,20A,0
Egypt/EGY-020/2020,20A,0
Egypt/EGY-Cairo/2020,20A,0
Egypt/EGY-043/2020,20A,0
USA/NJ-CDC-STM-000005636/2021,20A,0
USA/MA-MGH-02832/2020,20A,0
USA/FL-BPHL-2698/2020,20A,0
Australia/WA135/2020,20A,0
Australia/WA410/2020,20A,0
Australia/WA356/2020,20A,0
Tunisia/55006/2020,20A,0
Tunisia/ADAGE-24755/2020,20A,0
Tunisia/55153/2020,20A,0
Tunisia/ADAGE-17872/2020,20A,0
Australia/WA171/2020,20A,0
Australia/QLD1460/2020,20A,0
Iraq/USAFSAM-S084/2020,20A,0
Iraq/BAS-1/2020,20A,0
SriLanka/W65/2020,20A,0
SriLanka/CMC60515/2020,20A,0
SriLanka/CMC64284/2021,20A,0
SriLanka/GQC12/2020,20A,0
SriLanka/C31262/2020,20A,0
SriLanka/C27337/2020,20A,0
SriLanka/CMC60513/2020,20A,0
SriLanka/CMC60508/2020,20A,0
SriLanka/CA89635/2021,20A,0
SriLanka/CV86880/2021,20A,0
SriLanka/C26818/2020,20A,0
SriLanka/CA89803/2021,20A,0
SriLanka/CMC11595/2020,20A,0
SriLanka/BIN44/2020,20A,0
SriLanka/MIN01/2020,20A,0
SriLanka/C28324/2020,20A,0
SriLanka/WB4/2020,20A,0
SriLanka/N22/2021,20A,0
NewZealand/20VR1561/2020,20A,0
Madagascar/IP-01650/2020,20A,0
Cameroon/Yaounde-20V-11590/2020,20A,0
CotedIvoire/C01-2459/2020,20A,0
CotedIvoire/BKE0901/2020,20A,0
Pakistan/KPK-KUST-SJTU/2020,20A,0
Australia/NSW554/2020,20A,0
Australia/NSW632/2020,20A,0
Malta/BAL-Sliema-3/2020,20A,0
Malta/BAL-Sliema-5/2020,20A,0
Malta/BAL-Sliema-4/2020,20A,0
Malta/BAL-Sliema-1/2020,20A,0
Poland/9214597429_diag1_gx1/2020,20A,0
Rwanda/NRLNAT1004/2020,20A,0
Norway/CS-09/2020,20A,0
Bahrain/340861274_S26/2020,20A,0
Bahrain/920407807/2020,20A,0
Bahrain/023287015_S14_L001/2020,20A,0
Bahrain/340861258/2020,20A,0
Bahrain/341038022/2020,20A,0
Congo/Q001C112AQ_2101-TM-r1-026/2021,20A,0
Mali/M00960/2020,20A,0
Australia/WA526/2020,20A,0
Australia/WA497/2020,20A,0
Australia/WA496/2020,20A,0
Australia/WA495/2020,20A,0
BurkinaFaso/4057/2020,20A,0
Guinea/Conakry-INSP-51905/2021,20A,0
Australia/WA510/2020,20A,0
Australia/WA559/2020,20A,0
BurkinaFaso/B06-1219/2020,20A,0
CotedIvoire/BKE0104/2020,20A,0
CotedIvoire/C01-2176/2020,20A,0
Slovenia/V0-2804/2020,20A,0
Slovenia/V0-440/2020,20A,0
Zambia/ZMB-9163/2020,20A,0
USA/IN-CDC-6387/2020,20A,0
Australia/WA69/2020,20A,0
Australia/WA72/2020,20A,0
Australia/VIC18093/2021,20A,0
Australia/QLD1538/2021,20A,0
Peru/CAL-UPCH-0044/2020,20A,0
Canada/ON-SLB3078/2020,20A,0
Congo/UKT-014/2020,20A,0
Cameroon/CV416/2020,20A,0
Congo/Q001C087A7_2101-TM-r1-001/2020,20A,0
Congo/Q001C091A0_2101-TM-r1-005/2020,20A,0
Australia/SAP027/2020,20A,0
Congo/UKT-002/2020,20A,0
Sweden/20-08946/2020,20A,0
Kenya/C81274/2021,20A,0
Australia/WA373/2020,20A,0
Benin/260/2020,20C,0
CostaRica/INC-0039/2020,20C,0
Poland/Pomorskie_MWB_60/2020,20C,0
France/IDF_HB_112002053643/2020,20C,0
USA/MD-HP00033/2020,20C,0
Canada/ON-UHTC_0065/2020,20C,0
Tunisia/61628/2020,20C,0
Senegal/003/2020,20C,0
Senegal/020/2020,20C,0
Algeria/G0638_2264/2020,20C,0
Norway/4604/2020,20C,0
Tunisia/5008/2020,20C,0
France/ARA-107604/2020,20C,0
Algeria/G41498-8846/2020,20C,0
Algeria/G37138-8854/2020,20C,0
Palestine/34/2020,20C,0
Palestine/29/2020,20C,0
Argentina/PAIS-E0023/2020,20C,0
Argentina/INEI095952/2020,20C,0
Argentina/INEI096204/2020,20C,0
SierraLeone/KGH-G-8548/2020,20C,0
USA/WI-GMF-01901/2020,20C,0
Ecuador/USFQ-178/2020,20C,0
USA/TN-CDC-8414/2020,20C,0
Indonesia/YO-UGM-110434/2020,20C,0
Egypt/CUNCI-HGC11I032/2021,20C,0
UnitedArabEmirates/4018/2020,20C,0
NewZealand/20CV0669/2020,20C,0
UnitedArabEmirates/3115/2020,20C,0
NewZealand/20CV0536/2020,20C,0
Australia/SAP498/2020,20C,0
Jordan/Biolab003/2021,20C,0
NewZealand/20VR1796/2020,20C,0
Egypt/CPHL-NRC-22/2020,20C,0
USA/WI-UW-949/2020,20C,0
Colombia/CES-INS-89781/2020,20C,0
USA/GA-CDC-5113/2020,20C,0
USA/GA-CDC-5115/2020,20C,0
Colombia/BOY-GUR-0206/2020,20C,0
Colombia/TOL-INS-VG-112/2020,20C,0
USA/AR-CDC-9NNH-9142/2021,20C,0
Colombia/ANT-INS-VG-180/2021,20C,0
Colombia/BOG-INS-VG-42/2020,20C,0
Colombia/ANT-INS-103573/2020,20C,0
Colombia/VAC-INS-RI-010/2021,20C,0
Colombia/VAC-INS-RI-011/2021,20C,0
Colombia/ANT-INS-103236/2020,20C,0
Colombia/ANT-INS-103237/2020,20C,0
Colombia/ANT-INS-103238/2020,20C,0
Colombia/ANT-GVI-92161/2020,20C,0
Colombia/SAP-INS-SPSAN01/2020,20C,0
Colombia/SAP-INS-SPSAN02/2020,20C,0
Colombia/BOG-INS-VG-40/2020,20C,0
Colombia/DC-INS-VG-68/2020,20C,0
Colombia/BOY-INS-VG-60/2020,20C,0
Colombia/BOG-INS-VG-33/2020,20C,0
Colombia/BOG-INS-VG-264/2021,20C,0
Colombia/AMA-GUR-06730/2020,20C,0
Venezuela/VEN-95072/2020,20C,0
Peru/LIM-UPCH-0333/2020,20C,0
Colombia/DC-INS-VG-48/2020,20C,0
Colombia/DC-INS-VG-49/2020,20C,0
Australia/WA276/2020,20C,0
Trinidad/TT7867/2020,20C,0
Trinidad/TT9467/2020,20C,0
Trinidad/TT7923/2020,20C,0
Trinidad/TT2158/2020,20C,0
Trinidad/TT6949/2020,20C,0
Trinidad/TT4707/2020,20C,0
Trinidad/TT6851/2020,20C,0
Trinidad/TT44048/2020,20C,0
Trinidad/TT44092/2020,20C,0
SaudiArabia/671/2020,20C,0
SaudiArabia/KAUST-MADINAH609/2020,20C,0
CzechRepublic/FNHK-10202/2020,20C,0
SaudiArabia/KAUST-RIYADH1261/2020,20C,0
SaudiArabia/KAUST-JEDDAH615/2020,20C,0
India/WB-IICB-038/2020,20C,0
NewZealand/20CV0434/2020,20C,0
Indonesia/JB-EIJK145/2021,20C,0
Taiwan/NTU39/2020,20C,0
Taiwan/NTU41/2020,20C,0
Turkey/HSGM-1432/2020,20C,0
Finland/31ES15AB9/2020,20C,0
Pakistan/NIBD-04-KHI/2020,20C,0
NewZealand/20CV0605/2020,20C,0
Australia/NSW1182/2020,20C,0
Australia/NSW2964/2020,20C,0
Singapore/2/2021,20C,0
Canada/ON-SB-10/2020,20C,0
Canada/ON-SB-11/2020,20C,0
Canada/ON-SB-09/2020,20C,0
Australia/NSW2515/2020,20C,0
India/GJ-GBRC-460-R1/2020,20C,0
NewZealand/20CV0704/2020,20C,0
NewZealand/20CV0709/2020,20C,0
Morocco/FMP-61/2020,20C,0
NewZealand/20CV0506/2020,20C,0
NewZealand/20CV0527/2020,20C,0
NewZealand/20CV0545/2020,20C,0
NewZealand/20CV0563/2020,20C,0
NewZealand/20CV0556/2020,20C,0
Turkey/Ankara_GUMV_42541/2020,20C,0
BosniaandHerzegovina/agc778/2021,20C,0
BosniaandHerzegovina/VFS-UNSA-LMGFI016/2021,20C,0
Iraq/NN_Erbil/2021,20C,0
Australia/QLD1344/2020,20C,0
Australia/SAP566/2020,20C,0
Australia/SAP562/2020,20C,0
Australia/SAP553/2020,20C,0
Australia/SAP564/2020,20C,0
Australia/SAP558/2020,20C,0
India/KA-NIMH-SEQ-112/2021,20C,0
Australia/SAP519/2020,20C,0
Singapore/1098/2020,20C,0
India/KA-NIMH-SEQ-86/2020,20C,0
Australia/WA63/2020,20C,0
Pakistan/JRCGR-KHI28/2020,20C,0
Australia/NSW1192/2020,20C,0
Australia/NSW2972/2020,20C,0
Singapore/1398/2020,20C,0
Singapore/1419/2020,20C,0
Singapore/1434/2020,20C,0
Indonesia/JB-EIJK71/2020,20C,0
Malaysia/UNIMAS-15723/2020,20C,0
Indonesia/BE-NIHRD-PME9915/2020,20C,0
NewZealand/20CV0223/2020,20C,0
Pakistan/JRCGR-KHI35/2020,20C,0
Pakistan/JRCGR-KHI47/2020,20C,0
Sweden/21-50075/2021,20C,0
Jordan/AM-ALSR-5308/2020,20C,0
Pakistan/JRCGR-KHI02/2020,20C,0
Australia/QLD1491/2021,20C,0
Afghanistan/IMB15487/2021,20C,0
Afghanistan/IMB15489/2021,20C,0
Afghanistan/IMB15492/2021,20C,0
Afghanistan/IMB15493/2021,20C,0
Thailand/ChiangRai_MW0001/2020,20C,0
Thailand/phitsanulok-MT0115/2020,20C,0
Cambodia/180575/2020,20C,0
Cambodia/180217/2020,20C,0
Cambodia/180348/2020,20C,0
Cambodia/180346/2020,20C,0
Thailand/Bangkok-PH7928/2020,20C,0
Malaysia/IMR-W195I/2020,20C,0
Malaysia/IMR-WI194/2020,20C,0
